candidate_number,name,display_name,nickname_or_handle,card_title_draft,primary_projects_to_verify,category,candidate_strength,validation_status,portrait_status,manual_review_notes,source_url_1,source_url_2,portrait_reference_url_1,portrait_reference_url_2,selected_for_final_deck
1,Richard Stallman,Richard Stallman,rms,GNU / Free Software,GNU; FSF; GCC; Emacs; GPL,Free software / GNU,strong,needs_source_validation,verified likeness likely,Verify current legal/publicity risk separately; use sourced exact claims only.,,,,,no
2,Linus Torvalds,Linus Torvalds,,Linux / Git,Linux kernel; Git,Kernel / tools,strong,needs_source_validation,verified likeness likely,,,,,,no
3,Aaron Swartz,Aaron Swartz,,Open web / RSS,RSS; web.py; Open Library; Creative Commons metadata,Web / open knowledge,strong,needs_source_validation,deceased; verify estate/publicity concerns,Do not overstate RSS role; source exact wording.,,,,,no
4,TJ Holowaychuk,TJ Holowaychuk,tj,Node ecosystem libraries,Express.js; Mocha; Commander.js; Jade/Pug; Stylus,JavaScript / Node,strong,needs_source_validation,verified likeness likely,Do NOT label as Node.js creator.,,,,,no
5,Guido van Rossum,Guido van Rossum,,Python,Python,Languages,strong,needs_source_validation,verified likeness likely,,,,,,no
6,Yukihiro Matsumoto,Yukihiro “Matz” Matsumoto,Matz,Ruby,Ruby,Languages,strong,needs_source_validation,verified likeness likely,,,,,,no
7,Larry Wall,Larry Wall,,Perl,Perl; patch; rn,Languages,strong,needs_source_validation,verified likeness likely,,,,,,no
8,Brendan Eich,Brendan Eich,,JavaScript / Mozilla,JavaScript; Mozilla; Firefox ecosystem,Web / browsers,strong,needs_source_validation,verified likeness likely,,,,,,no
9,Rasmus Lerdorf,Rasmus Lerdorf,,PHP,PHP,Languages / web,strong,needs_source_validation,verified likeness likely,,,,,,no
10,David Heinemeier Hansson,David Heinemeier Hansson,DHH,Ruby on Rails,Ruby on Rails; Basecamp OSS ecosystem,Web frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
11,Ryan Dahl,Ryan Dahl,,Node.js / Deno,Node.js; Deno,JavaScript runtimes,strong,needs_source_validation,verified likeness likely,Must be listed as creator of Node.js.,,,,,no
12,Evan You,Evan You,yyx990803,Vue / Vite,Vue.js; Vite; Vitest,JavaScript frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
13,Rich Harris,Rich Harris,,Svelte / Rollup,Svelte; SvelteKit; Rollup,JavaScript frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
14,Jordan Walke,Jordan Walke,,React,React; Reason/ReasonML ecosystem,JavaScript frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
15,Dan Abramov,Dan Abramov,gaearon,Redux / React education,Redux; Create React App; React docs/community,JavaScript / React,strong,needs_source_validation,verified likeness likely,Verify role descriptions; avoid calling him React creator.,,,,,no
16,Sebastian McKenzie,Sebastian McKenzie,sebmck,Babel / Yarn / Biome,Babel; Yarn; Rome; Biome,JavaScript tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
